名称,新日本有限責任監査法人\nErnst & Young ShinNihon LLC （英文名称）,,,0
概要,新日本有限責任監査法人,,,0
概要,新日本有限責任監査法人は、全国に拠点を有する日本最大級の監査法人であり、監査および保証業務をはじめ、財務関連アドバイザリーサービスなどを提供しています。EYの日本におけるメンバーファームとして、EY税理士法人やEYトランザクション・アドバイザリー・サービス株式会社、EYアドバイザリー株式会社をはじめとする他のメンバーファームと相互に連携し、国内外を問わず、クライアントのビジネスをさまざまな側面から支援しています。,,,1
概要,EY,,,0
概要,EYは、アシュアランス、税務、トランザクションおよびアドバイザリー分野におけるリーディング・ファームです。世界150カ国以上の拠点に17万5千人の構成員を有し、世界のあらゆるマーケットにおいて、高品質かつ均一なサービスを提供する体制を整備しています。EYはビジネスの健全な発展に貢献することを通じ、よりよい社会の構築を目指してます。,,,1
Webサイト,新日本有限責任監査法人,http://www.shinnihon.or.jp/,,0
Webサイト,EY Japan,http://www.eyjapan.jp/,,0
Webサイト,EY,http://www.ey.com/,,0
所在地,本部・東京事務所\n〒100-0011\n東京都千代田区内幸町二丁目2番3号\n日比谷国際ビル,,35.6704 139.754332,0
所在地,霞が関オフィス\n〒100-6028\n東京都千代田区霞が関三丁目2番5号\n霞が関ビル,,35.671183 139.747199,0
所在地,日比谷分室\n〒100-0011\n東京都千代田区内幸町二丁目2番2号\n富国生命ビル,,35.670783 139.755168,0